"{""follow_request_sent"": false, ""has_extended_profile"": false, ""profile_use_background_image"": true, ""profile_text_color"": ""333333"", ""default_profile_image"": false, ""id"": 378345425, ""profile_background_image_url_https"": ""https://abs.twimg.com/images/themes/theme1/bg.png"", ""verified"": false, ""imported_to_gensim"": false, ""profile_location"": null, ""profile_image_url_https"": ""https://pbs.twimg.com/profile_images/1564721710/me_20n_20wai_normal.jpg"", ""profile_sidebar_fill_color"": ""DDEEF6"", ""entities"": {""description"": {""urls"": []}}, ""followers_count"": 376, ""profile_sidebar_border_color"": ""C0DEED"", ""id_str"": ""378345425"", ""profile_background_color"": ""C0DEED"", ""listed_count"": 10, ""status"": {""contributors"": null, ""truncated"": false, ""text"": ""I've collected 12,110 gold coins!  https://t.co/INSrq0rnw0 #android, #androidgames, #gameinsight"", ""is_quote_status"": false, ""in_reply_to_status_id"": null, ""id"": 726880511537205249, ""favorite_count"": 0, ""source"": """", ""retweeted"": false, ""coordinates"": null, ""entities"": {""symbols"": [], ""user_mentions"": [], ""hashtags"": [{""indices"": [59, 67], ""text"": ""android""}, {""indices"": [69, 82], ""text"": ""androidgames""}, {""indices"": [84, 96], ""text"": ""gameinsight""}], ""urls"": [{""url"": ""https://t.co/INSrq0rnw0"", ""indices"": [35, 58], ""expanded_url"": ""http://gigam.es/imtw_Tribez"", ""display_url"": ""gigam.es/imtw_Tribez""}]}, ""in_reply_to_screen_name"": null, ""in_reply_to_user_id"": null, ""retweet_count"": 0, ""id_str"": ""726880511537205249"", ""favorited"": false, ""geo"": null, ""in_reply_to_user_id_str"": null, ""possibly_sensitive"": false, ""lang"": ""en"", ""created_at"": ""Sun May 01 21:06:33 +0000 2016"", ""in_reply_to_status_id_str"": null, ""place"": null}, ""is_translation_enabled"": false, ""utc_offset"": -14400, ""statuses_count"": 2709, ""description"": """", ""friends_count"": 1905, ""location"": ""VA"", ""profile_link_color"": ""0084B4"", ""profile_image_url"": ""http://pbs.twimg.com/profile_images/1564721710/me_20n_20wai_normal.jpg"", ""following"": false, ""geo_enabled"": false, ""profile_background_image_url"": ""http://abs.twimg.com/images/themes/theme1/bg.png"", ""name"": ""Tamika"", ""lang"": ""en"", ""profile_background_tile"": false, ""favourites_count"": 1914, ""screen_name"": ""WaiWai2muc"", ""notifications"": false, ""url"": null, ""created_at"": ""Fri Sep 23 01:43:55 +0000 2011"", ""contributors_enabled"": false, ""time_zone"": ""America/New_York"", ""protected"": false, ""default_profile"": true, ""is_translator"": false}"
"I have Ancient Bar on my island! Now my island is even more awesome!  https://t.co/INSrq0rnw0 #android, #androidgames, #gameinsight"
"I have completed the quest 'Take a screenshot.' in the #Android game The Tribez.  https://t.co/INSrq0rnw0 #androidgames, #gameinsight"
"I have completed the quest 'Cut down 3 fruit...' in the #Android game The Tribez.  https://t.co/INSrq0rnw0 #androidgames, #gameinsight"
"I have Nice Hut on my island! Now my island is even more awesome!  https://t.co/INSrq0rnw0 #android, #androidgames, #gameinsight"
"I've harvested 1,002 of food!  https://t.co/INSrq0IYUA #android, #androidgames, #gameinsight"
"You've reached Ancestors' Atoll! https://t.co/INSrq0IYUA  #androidgames, #gameinsight"
"I have completed the quest 'Cherry Desert' in the #Android game The Tribez.  https://t.co/INSrq0IYUA #androidgames, #gameinsight"
"I've harvested 1,100 of food!  https://t.co/INSrq0IYUA #android, #androidgames, #gameinsight"
"I have completed the quest 'Cherry Gardens' in the #Android game The Tribez.  https://t.co/INSrq0IYUA #androidgames, #gameinsight"
"I've collected 8,015 gold coins!  https://t.co/INSrq0IYUA #android, #androidgames, #gameinsight"
"You've built Cherry Tree https://t.co/INSrq0IYUA  #androidgames, #gameinsight"
"I have Cherry Tree on my island! Now my island is even more awesome!  https://t.co/INSrq0IYUA #android, #androidgames, #gameinsight"
"I've harvested 1,050 of food!  https://t.co/INSrq0IYUA #android, #androidgames, #gameinsight"
"I have completed the quest 'Thoughtful Gardener' in the #Android game The Tribez.  https://t.co/INSrq0IYUA #androidgames, #gameinsight"
"Please, come back! https://t.co/INSrq0IYUA  #androidgames, #gameinsight"
"I've harvested 950 of food!  https://t.co/INSrq0IYUA #android, #androidgames, #gameinsight"
"I have completed the quest 'Add 1 Neighbor.' in the #Android game The Tribez.  https://t.co/INSrq0IYUA #androidgames, #gameinsight"
"I have completed the quest 'Complete the Mar...' in the #Android game The Tribez.  https://t.co/INSrq0IYUA #androidgames, #gameinsight"
"I've collected 3,549 gold coins!  https://t.co/INSrq0IYUA #android, #androidgames, #gameinsight"
"I've collected 1,140 gold coins!  https://t.co/INSrq0IYUA #android, #androidgames, #gameinsight"
"I've harvested 10,000 of food!  https://t.co/INSrq0IYUA #android, #androidgames, #gameinsight"
"Please, come back! https://t.co/INSrq0rnw0  #androidgames, #gameinsight"
"I've collected 3,537 gold coins!  https://t.co/INSrq0rnw0 #android, #androidgames, #gameinsight"
"I've harvested 420 of food!  https://t.co/INSrq0rnw0 #android, #androidgames, #gameinsight"
"I've collected 1,640 gold coins!  https://t.co/INSrq0rnw0 #android, #androidgames, #gameinsight"
You may grow restless with your life these days because it see... More for Cancer https://t.co/XWm6zKcexd
"I've collected 2,650 gold coins!  https://t.co/INSrq0IYUA #android, #androidgames, #gameinsight"
"I have completed the quest 'Complete the Sto...' in the #Android game The Tribez.  https://t.co/INSrq0IYUA #androidgames, #gameinsight"
"I've collected 1,302 gold coins!  https://t.co/INSrq0IYUA #android, #androidgames, #gameinsight"
"I've harvested 210 of food!  https://t.co/INSrq0IYUA #android, #androidgames, #gameinsight"
"I've collected 3,207 gold coins!  https://t.co/INSrq0IYUA #android, #androidgames, #gameinsight"
"I've collected 1,164 gold coins!  https://t.co/INSrq0IYUA #android, #androidgames, #gameinsight"
"I've harvested 103 of food!  https://t.co/INSrq0IYUA #android, #androidgames, #gameinsight"
"I managed to chase enemies from the village! https://t.co/INSrq0IYUA  #androidgames, #gameinsight"
"I've collected 9,962 gold coins!  https://t.co/INSrq0IYUA #android, #androidgames, #gameinsight"
"I've harvested 526 of food!  https://t.co/INSrq0IYUA #android, #androidgames, #gameinsight"
"I've harvested 1,273 of food!  https://t.co/INSrq0IYUA #android, #androidgames, #gameinsight"
"I've collected 76,440 gold coins!  https://t.co/INSrq0IYUA #android, #androidgames, #gameinsight"
"I have completed the quest 'Traveling Mercha...' in the #Android game The Tribez.  https://t.co/INSrq0IYUA #androidgames, #gameinsight"
"Please, come back! https://t.co/INSrq0IYUA  #androidgames, #gameinsight"
"I have completed the quest 'A Mysterious Dis...' in the #Android game The Tribez.  https://t.co/INSrq0IYUA #androidgames, #gameinsight"
"I've collected 6,277 gold coins!  https://t.co/INSrq0IYUA #android, #androidgames, #gameinsight"
"I've harvested 566 of food!  https://t.co/INSrq0IYUA #android, #androidgames, #gameinsight"
"Staying true to your feelings is no easy task today, especiall... More for Cancer https://t.co/XWm6zKcexd"
"I have completed the quest 'Complete the Wat...' in the #Android game The Tribez.  https://t.co/INSrq0rnw0 #androidgames, #gameinsight"
"I have completed the quest 'A lovely village.' in the #Android game The Tribez.  https://t.co/INSrq0rnw0 #androidgames, #gameinsight"
"I have completed the quest 'Invigorated Jamboa' in the #Android game The Tribez.  https://t.co/INSrq0IYUA #androidgames, #gameinsight"
"I have completed the quest 'Roadside Motel' in the #Android game The Tribez.  https://t.co/INSrq0IYUA #androidgames, #gameinsight"
"I've harvested 1,433 of food!  https://t.co/INSrq0IYUA #android, #androidgames, #gameinsight"
"I managed to chase enemies from the village! https://t.co/INSrq0IYUA  #androidgames, #gameinsight"
"Please, come back! https://t.co/INSrq0IYUA  #androidgames, #gameinsight"
"I've collected 48,443 gold coins!  https://t.co/INSrq0IYUA #android, #androidgames, #gameinsight"
"I've harvested 1,113 of food!  https://t.co/INSrq0IYUA #android, #androidgames, #gameinsight"
"I've collected 5,677 gold coins!  https://t.co/INSrq0rnw0 #android, #androidgames, #gameinsight"
"I've harvested 368 of food!  https://t.co/INSrq0IYUA #android, #androidgames, #gameinsight"
You may feel an unsettled sensation in your belly today that j... More for Cancer https://t.co/XWm6zKcexd
"I've harvested 1,029 of food!  https://t.co/INSrq0rnw0 #android, #androidgames, #gameinsight"
"I've harvested 1,015 of food!  https://t.co/INSrq0rnw0 #android, #androidgames, #gameinsight"
"I've harvested 1,024 of food!  https://t.co/INSrq0rnw0 #android, #androidgames, #gameinsight"
"I managed to chase enemies from the village! https://t.co/INSrq0IYUA  #androidgames, #gameinsight"
"I've harvested 1,246 of food!  https://t.co/INSrq0IYUA #android, #androidgames, #gameinsight"
"I've harvested 870 of food!  https://t.co/INSrq0IYUA #android, #androidgames, #gameinsight"
"I've harvested 80 of food!  https://t.co/INSrq0IYUA #android, #androidgames, #gameinsight"
"I have completed the quest 'Add 1 Neighbor.' in the #Android game The Tribez.  https://t.co/INSrq0IYUA #androidgames, #gameinsight"
"I've harvested 37 of food!  https://t.co/INSrq0IYUA #android, #androidgames, #gameinsight"
"I've collected 3,209 gold coins!  https://t.co/INSrq0IYUA #android, #androidgames, #gameinsight"
"Please, come back! https://t.co/INSrq0IYUA  #androidgames, #gameinsight"
"I've collected 122,860 gold coins!  https://t.co/INSrq0IYUA #android, #androidgames, #gameinsight"
"I've collected 9,150 gold coins!  https://t.co/INSrq0rnw0 #android, #androidgames, #gameinsight"
"I've harvested 5 of food!  https://t.co/INSrq0rnw0 #android, #androidgames, #gameinsight"
You could feel exhausted from all the emotional changes that s... More for Cancer https://t.co/XWm6zKcexd
Some of the apparent tensions in your emotional life have abat... More for Cancer https://t.co/XWm6zKcexd
You continue to single-mindedly concentrate on your career and... More for Cancer https://t.co/XWm6zKcexd
"I've collected 625 gold coins!  https://t.co/INSrq0rnw0 #android, #androidgames, #gameinsight"
"I've harvested 523 of food!  https://t.co/INSrq0rnw0 #android, #androidgames, #gameinsight"
"I've collected 112,185 gold coins!  https://t.co/INSrq0IYUA #android, #androidgames, #gameinsight"
"I've collected 13,026 gold coins!  https://t.co/INSrq0IYUA #android, #androidgames, #gameinsight"
"I've collected 18,733 gold coins!  https://t.co/INSrq0IYUA #android, #androidgames, #gameinsight"
"I have completed the quest 'Restore Patches.' in the #Android game The Tribez.  https://t.co/INSrq0IYUA #androidgames, #gameinsight"
"I have completed the quest 'Succulent Mango' in the #Android game The Tribez.  https://t.co/INSrq0IYUA #androidgames, #gameinsight"
"Please, come back! https://t.co/INSrq0IYUA  #androidgames, #gameinsight"
"I've harvested 10,835 of food!  https://t.co/INSrq0IYUA #android, #androidgames, #gameinsight"
"I've collected 2,500 gold coins!  https://t.co/INSrq0IYUA #android, #androidgames, #gameinsight"
"You're an effective communicator today, even if you would pref... More for Cancer https://t.co/XWm6zKcexd"
"I have completed the quest 'Add 1 Neighbor.' in the #Android game The Tribez.  https://t.co/INSrq0IYUA #androidgames, #gameinsight"
"I have completed the quest 'Add 2 neighbors.' in the #Android game The Tribez.  https://t.co/INSrq0IYUA #androidgames, #gameinsight"
"I've collected 8,558 gold coins!  https://t.co/INSrq0IYUA #android, #androidgames, #gameinsight"
"I've harvested 954 of food!  https://t.co/INSrq0IYUA #android, #androidgames, #gameinsight"
"Please, come back! https://t.co/INSrq0IYUA  #androidgames, #gameinsight"
"I've harvested 17 of food!  https://t.co/INSrq0IYUA #android, #androidgames, #gameinsight"
"I've collected 4,213 gold coins!  https://t.co/INSrq0IYUA #android, #androidgames, #gameinsight"
"I've just finished ""Spotless and Orderly""! I'd love for you to come and get a gift from me! https://t.co/5yCsVjZPwN #android  #gameinsight"
Being certain about your feelings is nearly impossible because... More for Cancer https://t.co/XWm6zKcexd
"I have completed the quest 'Building a sweet...' in the #Android game The Tribez.  https://t.co/INSrq0IYUA #androidgames, #gameinsight"
"I've harvested 2,460 of food!  https://t.co/INSrq0IYUA #android, #androidgames, #gameinsight"
"I've harvested 684 of food!  https://t.co/INSrq0IYUA #android, #androidgames, #gameinsight"
"I managed to chase enemies from the village! https://t.co/INSrq0IYUA  #androidgames, #gameinsight"
"I've collected 63,375 gold coins!  https://t.co/INSrq0IYUA #android, #androidgames, #gameinsight"
"I've collected 690 gold coins!  https://t.co/INSrq0IYUA #android, #androidgames, #gameinsight"
"I've harvested 35 of food!  https://t.co/INSrq0IYUA #android, #androidgames, #gameinsight"
